0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
75,115,199,93,55
54,92,199,116,53
78,118,199,101,58
54,106,200,106,54
72,108,200,109,71
56,102,199,119,75
80,120,199,105,61
71,102,200,103,71
75,110,200,112,74
73,105,200,106,74
77,113,200,115,78
83,123,199,109,64
85,125,199,111,68
87,127,199,114,71
59,104,199,122,79
79,115,200,119,81
76,107,200,109,78
61,107,199,126,82
81,117,200,122,84
84,120,200,125,87
86,122,200,128,90
63,109,199,129,86
66,112,199,132,89
88,124,200,131,119
90,130,199,117,74
120,127,200,134,122
123,132,199,121,77
122,129,200,137,125
125,134,199,124,81
68,114,199,135,92
70,116,199,139,124
124,131,200,141,128
127,137,199,127,84
78,109,200,112,81
80,112,200,115,84
127,133,200,144,131
129,136,200,147,134
130,140,199,129,88
132,142,199,132,91
131,138,200,150,138
135,144,199,136,114
137,146,199,139,117
140,148,199,143,121
142,151,199,147,124
73,118,199,142,127
145,153,199,149,127
76,120,199,145,130
133,140,200,153,141
147,156,199,152,131
78,123,199,148,132
55,95,200,73,42
49,73,198,108,49
62,140,199,56,39
55,81,199,87,49
58,111,199,65,45
58,97,200,76,50
65,143,199,59,42
57,111,199,70,49
58,93,200,74,54
51,81,199,87,46
62,113,199,68,52
66,118,199,71,55
68,120,199,73,58
70,123,199,77,61
52,75,198,112,55
71,124,199,79,64
59,114,199,73,55
61,99,200,86,54
73,126,199,82,68
70,95,200,77,60
60,84,199,90,59
63,101,200,90,57
65,103,200,93,60
75,128,199,86,71
79,132,199,88,74
64,86,199,97,65
69,107,200,95,62
80,133,199,89,77
71,109,200,98,68
51,89,199,101,69
73,111,200,101,72
83,135,199,93,81
77,114,200,103,74
59,95,199,90,49
62,116,199,96,61
85,137,199,96,84
87,140,199,99,88
67,146,199,63,45
70,149,199,65,48
90,142,199,101,91
73,152,199,68,51
94,146,199,105,94
75,154,199,72,55
77,157,199,75,58
68,91,199,105,71
96,148,199,109,97
79,115,200,107,78
71,92,199,107,74
83,118,200,109,80
85,120,200,113,84
52,83,199,85,44
48,66,177,146,53
70,185,139,54,37
53,73,198,108,56
66,140,199,56,39
56,85,199,88,48
73,188,148,61,40
66,140,199,56,45
54,93,200,81,43
55,81,199,87,46
68,143,199,59,42
61,115,199,63,42
63,118,199,66,50
65,120,199,70,53
50,74,179,149,58
71,146,199,63,45
68,143,199,68,55
57,111,199,82,50
74,149,199,65,51
63,95,200,84,55
57,75,198,112,63
59,113,199,86,57
63,115,199,88,60
77,152,199,68,61
70,123,199,73,60
59,77,198,115,66
63,88,199,96,51
79,154,199,72,64
66,119,199,63,62
58,94,200,74,54
67,120,199,91,67
82,157,199,75,68
66,90,199,99,58
49,82,198,108,51
71,146,199,85,62
84,160,199,77,71
87,163,199,81,74
83,190,151,70,43
86,193,154,72,47
90,166,199,85,77
89,196,157,75,51
73,125,199,77,67
91,198,160,78,55
94,199,163,81,58
58,81,199,87,49
75,127,199,81,70
69,123,199,98,70
63,79,198,118,83
68,95,199,102,61
71,125,199,101,73
50,74,198,105,47
46,60,134,199,59
79,198,97,49,34
51,66,177,146,53
70,185,139,54,37
55,75,198,108,51
82,198,100,51,37
74,185,140,51,37
54,93,200,74,43
54,81,199,95,51
76,188,150,62,40
62,118,199,60,38
64,120,199,63,41
67,123,199,66,45
49,65,137,199,65
79,190,153,65,43
77,188,146,58,40
68,140,199,70,48
82,194,156,68,50
63,95,200,77,51
56,83,179,157,72
75,143,199,73,55
78,146,199,76,58
87,197,159,74,59
76,125,199,68,48
58,89,182,160,78
62,88,198,112,53
93,199,162,79,63
84,149,199,78,66
58,111,199,78,48
85,152,199,82,71
96,199,165,82,71
64,91,198,116,56
56,81,199,97,56
86,194,155,77,47
98,199,168,85,74
101,199,171,88,78
92,198,116,58,41
99,198,119,61,45
104,199,175,91,82
101,198,122,64,48
84,127,199,75,51
104,198,125,67,52
107,198,129,71,56
51,86,199,96,51
86,130,199,78,55
92,154,199,89,74
64,106,186,169,95
67,99,198,119,59
94,157,199,92,77
49,67,181,143,51
45,54,106,199,68
92,199,74,38,32
49,60,134,199,59
79,198,97,44,34
53,69,177,146,55
95,199,77,41,35
87,198,97,44,34
59,93,200,74,46
49,82,198,112,51
82,198,100,47,37
69,120,199,58,37
71,123,199,61,40
74,125,199,65,42
48,57,108,199,81
84,198,106,50,41
91,198,100,50,37
77,185,148,57,47
87,198,109,54,48
69,95,200,77,52
54,62,137,199,65
80,188,151,67,54
83,190,154,70,57
90,198,112,56,58
79,127,199,68,46
57,65,140,199,68
62,84,192,156,74
92,198,116,59,62
73,195,135,60,63
70,144,199,70,46
87,197,158,77,67
94,198,119,63,66
65,89,199,160,81
53,85,198,108,53
93,198,103,56,44
96,198,122,66,70
